Date,Open,High,Low,Close
12/14/2021,71.12,72.03,69.51,70.73
12/13/2021,72.04,73,70.71,71.29
12/10/2021,70.68,72.33,70.32,71.67
12/09/2021,72.52,73.34,70.39,70.94
12/08/2021,71.86,73,70.91,72.36
12/07/2021,69.72,73.03,69.52,72.05
12/06/2021,67.02,70.15,66.72,69.49
12/03/2021,67.5,69.22,65.6,66.26
12/02/2021,65.63,67.49,62.43,66.5
12/01/2021,67.01,69.49,64.84,65.57
11/30/2021,70.04,71.22,64.43,66.18
11/29/2021,69.23,72.93,68.86,69.95
11/26/2021,78.1,78.17,67.4,68.15
11/24/2021,78.48,79.23,77.98,78.39
11/23/2021,76.46,78.86,75.3,78.5
11/22/2021,75.75,77.16,74.76,76.75
11/19/2021,78.76,79.92,75.37,76.1
11/18/2021,78.34,79.36,77.08,79.01
11/17/2021,80.54,80.69,77.69,78.36
11/16/2021,80.93,81.81,80.03,80.76
11/15/2021,80.66,81.2,79.3,80.88
11/12/2021,81.21,81.62,79.78,80.79
11/11/2021,81.41,82.33,80.2,81.59
11/10/2021,84.53,84.97,80.81,81.34
11/09/2021,82.16,84.63,81.78,84.15
11/08/2021,81.13,82.67,81.05,81.93
11/05/2021,79.37,81.8,78.96,81.27
11/04/2021,80.18,83.42,78.25,78.81
11/03/2021,83.07,83.08,79.69,80.86
11/02/2021,83.87,84.41,82.92,83.91
11/01/2021,83.36,84.88,82.74,84.05
10/29/2021,83.09,83.74,81.41,83.57
10/28/2021,82.25,83.21,80.58,82.81
10/27/2021,84.39,84.51,82.01,82.66
10/26/2021,83.72,84.88,82.97,84.65
10/25/2021,83.98,85.41,83.39,83.76
10/22/2021,82.61,84.22,81.76,83.76
10/21/2021,83.58,83.96,80.79,82.5
10/20/2021,83.34,84.25,81.3,83.87
10/19/2021,82.37,83.74,81.8,82.96
10/18/2021,82.6,83.87,81.84,82.44
10/15/2021,81.48,82.66,81.39,82.28
10/14/2021,80.59,81.68,80.38,81.31
10/13/2021,80.58,81.04,79.42,80.44
10/12/2021,80.5,81.62,79.47,80.64
10/11/2021,79.59,82.18,79.55,80.52
10/08/2021,78.86,80.11,78.63,79.35
10/07/2021,77,78.89,74.96,78.3
10/06/2021,79.04,79.78,76.83,77.43
10/05/2021,77.58,79.48,77.47,78.93
10/04/2021,75.9,78.38,75.32,77.62
10/01/2021,75.12,75.99,74.23,75.88
09/30/2021,74.78,76.07,73.14,75.03
09/29/2021,74.38,75.79,73.74,74.83
09/28/2021,75.43,76.67,74.24,75.29
09/27/2021,74.19,75.75,74.16,75.45
09/24/2021,73.24,74.27,72.81,73.98
09/23/2021,71.97,73.5,71.61,73.3
09/22/2021,70.85,72.3,70.64,72.23
09/21/2021,70.59,71.63,69.67,70.56
09/20/2021,71.92,72.08,69.86,70.29
09/17/2021,72.62,72.72,71.21,71.97
09/16/2021,72.65,72.99,71.53,72.61
09/15/2021,70.76,73.14,70.65,72.61
09/14/2021,70.64,71.22,69.98,70.46
09/13/2021,69.74,70.97,69.51,70.45
09/10/2021,67.97,69.96,67.68,69.72
09/09/2021,69.36,69.89,67.56,68.14
09/08/2021,68.37,69.75,68.31,69.3
09/07/2021,68.88,69.42,67.64,68.35
09/03/2021,69.76,70.53,69.05,69.29
09/02/2021,68.29,70.61,67.84,69.99
09/01/2021,68.55,69.24,67.12,68.59
08/31/2021,69.18,69.34,68.16,68.5
08/30/2021,69.3,69.64,67.67,69.21
08/27/2021,67.75,69.05,67.52,68.74
08/26/2021,68,68.31,67.02,67.42
08/25/2021,67.63,68.54,66.92,68.36
08/24/2021,65.54,67.8,65.41,67.54
08/23/2021,61.96,66,61.74,65.64
08/20/2021,64.05,64.1,62.11,62.32
08/19/2021,64.58,64.76,62.63,63.69
08/18/2021,66.58,67.48,64.34,65.46
08/17/2021,67.43,67.72,66.33,66.59
08/16/2021,67.71,68.27,65.73,67.29
08/13/2021,68.91,69.22,67.77,68.44
08/12/2021,69.36,69.62,68.46,69.09
08/11/2021,68.51,69.45,66.67,69.25
08/10/2021,66.85,68.9,66.56,68.29
08/09/2021,67.88,67.9,65.15,66.48
08/06/2021,69.14,70.18,67.8,68.28
08/05/2021,68.06,69.35,67.61,69.09
08/04/2021,70.32,70.81,67.85,68.15
08/03/2021,71.52,71.96,69.19,70.56
08/02/2021,73.91,73.95,70.55,71.26
07/30/2021,73.41,74.23,72.93,73.95
07/29/2021,72.4,73.68,72.26,73.62
07/28/2021,71.9,72.6,71.7,72.39
07/27/2021,72.22,72.33,71.08,71.65
07/26/2021,72.18,72.43,70.56,71.91
07/23/2021,71.71,72.21,71.39,72.07
07/22/2021,70.22,72.03,69.86,71.91
07/21/2021,66.45,70.51,66.44,70.3
07/20/2021,66.6,67.65,65.21,67.42
07/19/2021,71.49,71.67,65.63,66.42
07/16/2021,71.48,72.3,70.41,71.81
07/15/2021,72.96,72.96,71.4,71.65
07/14/2021,75.17,75.44,72.21,73.13
07/13/2021,74.18,75.52,73.68,75.25
07/12/2021,74.74,74.93,73.16,74.1
07/09/2021,73.26,74.76,72.72,74.56
07/08/2021,72.17,73.26,70.76,72.94
07/07/2021,73.85,74.86,71.07,72.2
07/06/2021,76.35,76.98,72.94,73.37
07/02/2021,75.02,75.62,74.41,75.16
07/01/2021,73.5,76.22,73.39,75.23
06/30/2021,73.47,74.14,72.82,73.47
06/29/2021,72.78,73.81,71.97,72.98
06/28/2021,73.99,74.45,72.62,72.91
06/25/2021,73.32,74.18,72.85,74.05
06/24/2021,73.28,73.61,72.32,73.3
06/23/2021,72.91,74.25,72.82,73.08
06/22/2021,73.41,73.95,72.94,73.06
06/21/2021,71.52,73.96,71.15,73.66
06/18/2021,71.1,72.17,70.16,71.64
06/17/2021,71.65,72.3,69.77,71.04
